7zip 25.01-1
android-file-transfer 4.5-2
ark 25.08.0-1
aspnet-runtime 9.0.8.sdk109-1
audacity 1:3.7.5-1
base 3-2
base-devel 1-2
bash-completion 2.16.0-1
bind 9.20.12-1
blender 17:4.5.1-4
bluez-obex 5.83-1
bluez-utils 5.83-1
calibre 8.7.0-1
cheese 44.1-5
cups 2:2.4.12-2
cups-pdf 3.0.2-1
discord 1:0.0.106-1
dnsmasq 2.91-1
docker 1:28.3.3-1
dosfstools 4.2-5
dotnet-sdk 9.0.8.sdk109-1
efibootmgr 18-3
egl-wayland 4:1.1.20-1
fastfetch 2.50.2-1
firefox 142.0-1
flatpak 1:1.16.1-1
flatpak-kcm 6.4.4-1
fzf 0.65.1-1
git 2.50.1-3
glm 1.0.1-1
go 2:1.24.6-1
gobject-introspection 1.84.0-2
gparted 1.7.0-1
graphviz 13.1.2-1
grub 2:2.12.r292.g73d1c959-1
grub-theme-vimix 20190605-3
gst-plugin-pipewire 1:1.4.7-1
gtk-engine-murrine 0.98.2-4
gvfs-afc 1.57.2-4
gvfs-dnssd 1.57.2-4
gvfs-goa 1.57.2-4
gvfs-google 1.57.2-4
gvfs-gphoto2 1.57.2-4
gvfs-mtp 1.57.2-4
gvfs-nfs 1.57.2-4
gvfs-onedrive 1.57.2-4
gvfs-smb 1.57.2-4
gvfs-wsdd 1.57.2-4
gvim 9.1.1623-1
gwenview 25.08.0-1
haveged 1.9.19-1
htop 3.4.1-1
inkscape 1.4.2-7
intel-gpu-tools 2.1-1
intel-media-driver 25.2.5-1
intel-ucode 20250812-1
iptables-nft 1:1.8.11-2
isoimagewriter 25.08.0-1
iwd 3.9-1
jdk-openjdk 24.0.2.u12-1
kate 25.08.0-1
kcalc 25.08.0-1
kdeconnect 25.08.0-2
kdenlive 25.08.0-1
keyd 2.5.0-1
kicad 9.0.4-1
kitty 0.42.2-1
konsole 25.08.0-1
kwalletmanager 25.08.0-1
lazygit 0.54.2-1
lib32-mesa 1:25.1.7-1
lib32-pipewire 1:1.4.7-1
lib32-pipewire-jack 1:1.4.7-1
lib32-vulkan-intel 1:25.1.7-1
libguestfs 1.56.2-1
libpulse 17.0+r43+g3e2bb8a1e-1
libreoffice-still 24.8.7-5
libva-intel-driver 2.4.1-5
linux 6.16.1.arch1-1
linux-firmware 20250808-1
lua51 5.1.5-13
luarocks 3.12.2-1
man-db 2.13.1-1
man-pages 6.15-1
mpv 1:0.40.0-5
mtools 1:4.0.49-1
nano 8.5-1
nemo 6.4.5-1
neovim 0.11.3-1
networkmanager 1.54.0-1
network-manager-applet 1.36.0-1
nodejs 24.6.0-1
noto-fonts 1:2025.08.01-1
noto-fonts-cjk 20240730-1
noto-fonts-extra 1:2025.08.01-1
npm 11.5.2-1
nvm 0.40.3-1
obsidian 1.9.10-2
obs-studio 31.1.2-1
okular 25.08.0-1
ollama 0.11.4-1
os-prober 1.83-1
papirus-icon-theme 20250501-1
pavucontrol 1:6.1-1
pdfarranger 1.12.1-1
pdftk 3.3.3-4
pipewire 1:1.4.7-1
pipewire-alsa 1:1.4.7-1
pipewire-docs 1:1.4.7-1
pipewire-jack 1:1.4.7-1
pipewire-pulse 1:1.4.7-1
pkgstats 3.3.3-1
plasma-meta 6.4-4
plasma-x11-session 6.4.4-1
pnpm 10.15.0-1
postgresql 17.5-5
power-profiles-daemon 0.30-1
powertop 2.15-2
proton-vpn-gtk-app 4.9.7-1
python-debugpy 1.8.15-1
python-pipx 1.7.1-2
python-poetry 2.1.2-1
qbittorrent 5.1.2-1
qt5-base 5.15.17+kde+r123-1
qt5ct 1.9-1
qt5-graphicaleffects 5.15.17-1
qt5-quickcontrols2 5.15.17+kde+r5-1
qt5-svg 5.15.17+kde+r5-1
qt5-tools 5.15.17+kde+r3-2
rustup 1.28.2-3
sddm 0.21.0-6
sfml 3.0.1-1
smartmontools 7.5-1
sof-firmware 2025.05.1-1
steam 1.0.0.82-2
stow 2.4.1-1
stress 1.0.7-3
tcpdump 4.99.5-1
telegram-desktop 6.0.2-1
tesseract-data-eng 2:4.1.0-4
texlive-basic 2025.2-1
texlive-bibtexextra 2025.2-1
texlive-binextra 2025.2-1
texlive-context 2025.2-1
texlive-fontsextra 2025.2-1
texlive-fontsrecommended 2025.2-1
texlive-fontutils 2025.2-1
texlive-formatsextra 2025.2-1
texlive-games 2025.2-1
texlive-humanities 2025.2-1
texlive-langarabic 2025.2-1
texlive-langchinese 2025.2-1
texlive-langcjk 2025.2-1
texlive-langcyrillic 2025.2-1
texlive-langczechslovak 2025.2-1
texlive-langenglish 2025.2-1
texlive-langeuropean 2025.2-1
texlive-langfrench 2025.2-1
texlive-langgerman 2025.2-1
texlive-langgreek 2025.2-1
texlive-langitalian 2025.2-1
texlive-langjapanese 2025.2-1
texlive-langkorean 2025.2-1
texlive-langother 2025.2-1
texlive-langpolish 2025.2-1
texlive-langportuguese 2025.2-1
texlive-langspanish 2025.2-1
texlive-latex 2025.2-1
texlive-latexextra 2025.2-1
texlive-latexrecommended 2025.2-1
texlive-luatex 2025.2-1
texlive-mathscience 2025.2-1
texlive-metapost 2025.2-1
texlive-music 2025.2-1
texlive-pictures 2025.2-1
texlive-plaingeneric 2025.2-1
texlive-pstricks 2025.2-1
texlive-publishers 2025.2-1
texlive-xetex 2025.2-1
thermald 2.5.9-3
tldr 3.4.1-1
torbrowser-launcher 0.3.7-3
traceroute 2.1.6-1
trash-cli 0.24.5.26-2
ttf-meslo-nerd 3.4.0-1
typescript 5.9.2-1
typescript-language-server 4.4.0-1
unrar 1:7.1.10-1
unzip 6.0-23
usbutils 018-1
uv 0.8.12-1
valgrind 3.25.1-3
vdpauinfo 1.5-2
vim-surround 2.2-3
virtualbox 7.2.0-1
virtualbox-host-modules-arch 7.2.0-2
vulkan-intel 1:25.1.7-1
wget 1.25.0-2
whois 5.6.4-1
wireless_tools 30.pre9-4
wireplumber 0.5.10-1
wmctrl 1.07-6
xcape 1.2-5
xclip 0.13-6
xdg-utils 1.2.1-1
xdotool 3.20211022.1-2
xf86-video-vesa 2.6.0-2
xorg-bdftopcf 1.1.2-1
xorg-docs 1.7.3-2
xorg-fonts-100dpi 1.0.4-3
xorg-fonts-75dpi 1.0.4-2
xorg-font-util 1.4.1-2
xorg-iceauth 1.0.10-1
xorg-mkfontscale 1.2.3-1
xorg-server 21.1.18-2
xorg-server-devel 21.1.18-2
xorg-server-xephyr 21.1.18-2
xorg-server-xnest 21.1.18-2
xorg-server-xvfb 21.1.18-2
xorg-sessreg 1.1.4-1
xorg-smproxy 1.0.8-1
xorg-x11perf 1.7.0-1
xorg-xbacklight 1.2.4-1
xorg-xcmsdb 1.0.7-1
xorg-xcursorgen 1.0.9-1
xorg-xdriinfo 1.0.8-1
xorg-xev 1.2.6-1
xorg-xgamma 1.0.8-1
xorg-xhost 1.0.10-1
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkbevd 1.1.6-1
xorg-xkbprint 1.0.7-1
xorg-xkbutils 1.0.6-1
xorg-xkill 1.0.6-2
xorg-xlsatoms 1.1.4-2
xorg-xlsclients 1.1.5-2
xorg-xpr 1.2.0-1
xorg-xrefresh 1.1.0-1
xorg-xsetroot 1.1.3-2
xorg-xvinfo 1.1.5-2
xorg-xwd 1.0.9-2
xorg-xwininfo 1.1.6-2
xorg-xwud 1.0.7-1
yaml-cpp 0.8.0-2
yazi 25.5.31-2
yt-dlp 2025.07.21-1
zip 3.0-11
zram-generator 1.2.1-1
